,Country,Region,Population,GDP_per_capita_USD,Median_USD
0,Argentina,Americas,46654581.0,13394.34,4436.446676761335
1,Australia,Oceania,26821557.0,62596.27,76285.90604026846
2,Austria,Europe,9159993.0,60594.25,75240.65934065933
3,Bahamas,Americas,397360.0,35541.82,65160.0
4,Belarus,Europe,9200617.0,7238.1,4516.717325227964
5,Belgium,Europe,11814353.0,56084.96,72959.34065934065
6,Bosnia and Herzegovina,Europe,3277082.0,8317.4,11004.469273743016
7,Brazil,Americas,203080756.0,11029.18,20293.01848049281
8,Bulgaria,Europe,6447710.0,17319.64,15732.960893854748
9,Canada,Americas,40769890.0,55527.99,70050.73529411764
10,Chile,Americas,19960889.0,17647.27,26714.98989583217
11,China,Asia,1409670000.0,13155.89,35188.59154929578
12,Colombia,Americas,52695952.0,7087.11,12695.126041787058
13,Costa Rica,Americas,5262225.0,17249.42,31302.115795301743
14,Croatia,Europe,3855641.0,22519.93,26540.65934065934
15,Czech Republic,Europe,10900555.0,32391.38,34182.9170383586
16,Denmark,Europe,5961249.0,72940.26,88093.09838472835
17,Ecuador,Americas,16938986.0,6630.08,28853.0
18,Egypt,Africa,104462545.0,3319.79,4899.4484101232965
19,Estonia,Europe,1366491.0,33017.71,29873.62637362637
20,Finland,Europe,5574011.0,56157.02,69475.82417582418
21,France,Europe,68394000.0,48222.64,61546.15384615384
22,Georgia,Asia,3736400.0,8573.08,45984.96240601504
23,Germany,Europe,84607016.0,56036.84,68596.7032967033
24,Greece,Europe,10413982.0,24512.9,41135.16483516483
25,Guatemala,Americas,17602431.0,5747.71,30763.43381389253
26,Hong Kong,Asia,7498100.0,54078.37,68132.13828425096
27,Hungary,Europe,9584000.0,23008.49,24675.74510031312
28,Iceland,Europe,396960.0,87865.33,68420.2533488643
29,India,Asia,1392329000.0,2847.56,12100.108329321136
30,Indonesia,Asia,279118866.0,5509.13,22068.410345361222
31,Iraq,Asia,43324000.0,6104.35,22136.00275479962
32,Ireland,Europe,5281600.0,117979.5,64280.21978021978
33,Israel,Asia,9867000.0,54058.94,53772.086720867206
34,Italy,Europe,58989749.0,38925.89,55564.83516483516
35,Jamaica,Americas,2825544.0,7310.19,17154.860064232813
36,Japan,Asia,123990000.0,34554.92,52790.928620928615
37,Kazakhstan,Asia,20075271.0,14395.61,12162.75265103717
38,Luxembourg,Europe,660809.0,140307.61,99967.03296703297
39,Malaysia,Asia,33379500.0,13913.2,21946.666666666664
40,Malta,Europe,519562.0,41124.11,47910.98901098901
41,Mexico,Americas,129625968.0,15071.99,17344.246737841044
42,Morocco,Africa,37022000.0,4212.02,14710.794297352342
43,Netherlands,Europe,17960485.0,65194.93,73790.10989010989
44,New Zealand,Oceania,5305600.0,47222.6,65695.0
45,Norway,Europe,5550203.0,102459.15,73025.99033816425
46,Pakistan,Asia,241499431.0,1471.1,7001.525460144669
47,Panama,Americas,4064780.0,19346.09,34558.0
48,Peru,Americas,33396698.0,7952.03,14043.360433604335
49,Philippines,Asia,112892781.0,4168.99,10694.376572044555
50,Poland,Europe,37620000.0,23434.21,26235.76826196473
51,Portugal,Europe,10467366.0,28122.86,35069.230769230766
52,Romania,Europe,19051562.0,20214.0,16311.013215859031
53,Russia,Europe,146150789.0,13324.12,13354.27533839551
54,Saudi Arabia,Asia,32175224.0,33144.34,44901.333333333336
55,Singapore,Asia,5917600.0,91727.95,65881.95488721805
56,Slovakia,Europe,5424687.0,26713.72,38070.32967032967
57,South Africa,Africa,62027503.0,6426.89,20723.84780278671
58,South Korea,Asia,51303688.0,34653.14,36582.163827198056
59,Spain,Europe,48592909.0,34932.61,43681.31868131868
60,Sweden,Europe,10549287.0,56894.24,51756.48780487805
61,Switzerland,Europe,8960817.0,110246.11,108700.0
62,Taiwan,Asia,23420442.0,34046.2,47241.08527131783
63,Thailand,Asia,68263022.0,7731.3,21372.959037525063
64,Trinidad and Tobago,Americas,1367510.0,20739.03,21983.25791855204
65,Turkey,Asia,85372377.0,15368.27,10856.32530120482
66,Ukraine,Europe,36700000.0,5530.61,12851.320655044903
67,United Arab Emirates,Asia,9282410.0,52406.86,72014.44141689374
68,United Kingdom,Europe,67596281.0,52426.3,63812.6582278481
69,United States,Americas,335893238.0,83062.62,91719.0
70,Uruguay,Americas,3444263.0,22658.59,23192.273901808785
71,Vietnam,Asia,100300000.0,4636.37,17454.27352675269
